name,latitude,longitude
Voldby,56.23556,9.88427
Voldby,55.49466,9.83596
Voldbro,55.27263,9.97856
Vokslev,56.96634,9.68045
Vojens,55.24639,9.30603
Vognsvad,55.64877,9.6427
Vognstrup,56.39557,8.54012
Vognsild,56.75666,9.4212
Vogn,57.50264,10.32036
Voervadsbro,56.01415,9.70127
Voerså,57.20788,10.48691
Voerladegård,56.02455,9.73303
Voerbjerg,57.08361,9.90025
Voer,56.24955,9.3244
Voer,56.52091,10.27181
Voel,56.19107,9.69405
Vodstrup,56.81347,8.82728
Vodskov,57.10854,10.02215
Vodrup,54.86796,10.34334
Vodder,55.22107,8.84363
Vængesgård,54.96553,12.34566
Vængemose,55.07459,10.74478
Vivild,56.4837,10.44531
Vivild,56.31569,10.01598
Viverup,55.30296,12.09613
Vivede,55.25538,12.17721
Vive,56.70616,10.0393
Vium Østermark,56.33474,9.39674
Vium,56.67671,8.95947
Vium,56.5318,8.44508
Vium,56.32815,9.37783
Viuf,55.58526,9.49238
Vitved,56.04749,10.03982
Vittrup,57.394,9.7828
Vittrup,55.57111,9.06258
Vittinge,55.27835,10.26503
Vitten,56.29252,9.9952
Vittarp,55.69458,8.3731
Vistorp,55.29282,10.02255
Vistoft,56.19564,10.50978
Vissing,56.36424,10.01263
Vissenbjerg,55.38482,10.13784
Visse,56.99249,9.93028
Viskinge,55.66212,11.26857
Visby,56.79361,8.4625
Visby,55.01015,8.7804
Visborg,56.73682,10.14885
Visbjerg,55.0812,9.02725
Virum,55.79488,12.45103
Virring,56.43409,10.24525
Virring,56.03117,10.03581
Virklund,56.13218,9.55582
Virket,54.8347,11.97487
Vipperød,55.66768,11.73967
Vippel,54.93362,9.22361
Vinum,55.12842,8.81371
Vintre Møller,55.65039,11.80999
Vinterslev,56.33465,10.0516
Vintersbølle,55.00075,11.97624
Vinten,55.90092,9.74955
Vinstrup,56.61191,10.18167
Vinstrup,55.64777,11.69397
Vinstrup,55.35243,11.57778
Vinkel,56.55378,9.14417
Vinkel,56.41657,9.50081
Vingsted,55.66667,9.36667
Vingevænge Gårde,55.05856,14.84929
Vindum,56.37402,9.58065
Vindinge,55.62298,12.1387
Vindinge,55.30743,10.72874
Vinding,56.28333,8.66667
Vinding,56.02285,9.56698
Vinding,55.67291,9.57536
Vinderup,56.47515,8.79081
Vinderup,55.35692,11.73733
Vinderslev,56.25463,9.42942
Vinderød,55.98788,12.02827
Vindelev,55.79552,9.49105
Vindekilde,55.78231,11.40801
Vinde-Helsinge,55.52863,11.197
Vindebyskov,54.9402,11.12464
Vindeby,55.04489,10.61309
Vindeby,54.92293,11.15637
Vindeby,54.86404,10.75176
Vindebæk,54.88818,12.19373
Vindeballe,54.87481,10.35277
Vinde,56.57994,9.00916
Vindbyholt,55.19257,12.07226
Vindblæs,56.93333,9.33333
Vind,56.25641,8.56398
Vimtrup,55.39912,9.0122
Vilsund Vest,56.88101,8.62555
Vilsted,56.90428,9.28576
Vilslev,55.39772,8.69997
Vilsbæk,54.91579,9.39868
Vils,56.76313,8.72855
Villumstrup,55.28895,10.6455
Villingerød,56.07052,12.38728
Villingebæk,56.09607,12.41121
Villestoft,55.41638,10.30393
Villerup,56.79215,8.35152
Villersø,56.44658,10.81421
Villerslev,56.81927,8.48676
Villendrup,56.33311,10.20426
Villebøl,55.40648,8.88092
Vilholt,56.02453,9.68706
Vilgestrup,55.5206,12.10621
Vile,56.72027,8.86489
Vildbjerg,56.2,8.76667
Vigsø,57.09596,8.71789
Vigsnæs,54.88894,11.65657
Vigersted,55.48484,11.88619
Vigerslev,55.66288,12.48357
Vigerslev,55.47364,10.21778
Vigen,55.72999,12.1228
Vig,55.85076,11.58563
Viet,54.72298,11.34826
Vierne,55.47165,10.11517
Viemose,55.02048,12.13194
Vielsted,55.52677,11.64791
Vidstrup,57.50263,9.9469
Vidstrup,56.33568,9.76754
Viderup,56.19721,10.5193
Videbæk,56.0876,8.62852
Viby-Terp,56.11667,10.18333
Viby,56.12259,10.15145
Viby,55.54872,12.02391
Viby,55.49701,10.68578
Viby,55.45432,9.84225
Viborg,56.45319,9.40201
Vibøge,54.89717,9.96935
Vibæk,55.59821,8.39492
Viberup,55.59517,12.58426
Vibberstoft,56.83031,8.5159
Væggerskilde,56.11762,8.58057
Væggerløse,54.71242,11.92545
Vetterslev,55.3875,11.76601
Vesttarp,56.06667,8.31667
Vestrup,56.7491,9.44587
Vestrup,56.47975,10.13803
Vestervig,56.76279,8.31942
Vester Vidstrup,57.46091,9.79485
Vester Velling,56.43261,9.83704
Vester Vejrup,55.51723,8.74312
Vester Vedsted,55.29054,8.68057
Vester Vandet,57.01148,8.58257
Vester Vamdrup,55.43361,9.26307
Vester Ulslev,54.69174,11.57307
Vester Tostrup,56.62007,9.4664
Vester Torup,57.10122,9.12416
Vester Torsted,55.60914,9.20839
Vester Tørslev,56.59785,9.90083
Vester Tirsted,54.73247,11.35088
Vester Terp,55.08333,8.8759
Vester Svenstrup,57.13425,9.37132
Vester Sottrup,54.94762,9.73063
Vester Sømarken,55.01174,14.96256
Vester Snogbæk,54.96435,9.69271
Vester Skovby,54.78223,11.11641
Vesterskov,54.92915,11.99985
Vesterskov,57.24428,10.26946
Vesterskov,54.88056,10.47332
Vester Skørringe,54.75463,11.37432
Vester-Skerninge,55.07322,10.45536
Vester Såby,55.63032,11.83721
Vester Rendbæk,57.23889,9.70781
Vester Rabjerg,56.01728,8.42021
Vester Ørum,55.82396,9.57916
Vesterø Havn,57.29371,10.9251
Vester Nordlunde,54.87797,11.21551
Vester Nebel,55.56631,9.40592
Vester Nebel,55.5404,8.54355
Vester Marup,55.9704,8.48355
Vestermark,57.51368,10.02249
Vestermark,54.89857,11.6489
Vestermark,54.87056,9.88863
Vester Marie,55.10821,14.82446
Vester Lyby,56.64243,8.99338
Vester Lunde,55.48629,10.34305
Vesterlund,55.9138,9.32588
Vester Lindet,55.31323,9.1065
Vester Lem,56.58419,8.75612
Vesterled,55.65,12.38333
Vester Kærby,55.4344,10.51093
Vesterklit,57.5996,10.22285
Vester Kippinge,54.90845,11.77254
Vester Karleby,54.86523,11.16469
Vester Jølby,56.82721,8.65042
Vester Hvidbjerg,56.74646,8.59207
Vester Hæsinge,55.19638,10.25104
Vester Hornum,56.8316,9.3599
Vester Højst,54.99993,9.0136
Vester Hjermitslev,57.28561,9.75821
Vesterhede,55.68918,8.9182
Vesterhede,55.10497,8.5332
Vester Hassing,57.06767,10.12558
Vester Halne Enge,57.10681,9.79082
Vester Halne,57.11942,9.83751
Vester Grønning,56.64829,9.04933
Vester Gjerndrup,55.5167,9.00472
Vester Gesten,55.524,9.1927
Vester Gasse,55.15159,8.8017
Vester Gårdsholt,57.26209,10.31054
Vestergård,55.1491,8.92821
Vestergard,54.85,9.23333
Vester Gammelby,55.01161,8.70452
Vester Gammelby,55,8.7
Vesterenge,55.35402,8.83365
Vester Egesborg,55.15521,11.81821
Vester Egense,55.5704,10.21235
Vester Egede,55.26555,11.96505
Vester Egebjerg,56.53863,8.79963
Vester Dølby,56.6076,8.98099
Vester Doense,56.71072,9.80824
Vester Debel,55.72088,8.39174
Vesterby,57.71757,10.57685
Vesterby,57.05677,9.56442
Vesterby,56.77876,8.30478
Vesterby,56.10607,8.26057
Vesterby,55.71637,9.94043
Vesterby,55.57773,10.24404
Vesterby,54.93754,11.37994
Vesterby,54.89782,10.74734
Vester Broby,55.38077,11.6201
Vester Bregninge,54.89297,10.31131
Vesterborg,54.84837,11.27959
Vester Børsting,56.46102,9.06656
Vester Bølle,56.71193,9.36491
Vester Bøgebjerg,55.29868,11.22793
Vesterbo,54.90548,11.11116
Vesterbæk,56.12014,8.47323
Vesterbæk,55.6623,8.61306
Vesterbæk,55.26357,8.79521
Vester Bjerregrav,56.58113,9.49612
Vesterbjerge,55.92728,8.75278
Vester Bisholt,55.8197,9.98044
Vester Åst,55.73333,9.2
Vester Assels,56.70083,8.6439
Vester Alling,56.4115,10.27621
Vester Åby,55.08508,10.38126
Vester Åbølling,55.21279,8.69445
Vestenskov,54.79159,11.0998
Vestenbæk,54.97823,12.0097
Vestbjerg,57.13166,9.95942
Vestbirk,55.96557,9.71843
Vesløs,57.03833,8.97463
Vesemose,55.22455,10.08118
Verup,55.56138,11.50982
Verninge,55.29151,10.21908
Verjerslev,56.30551,9.71711
Vented,55.66602,11.56785
Venslev,55.77698,11.90486
Venslev,55.25485,11.45598
Venø By,56.55232,8.62703
Venning,56.4564,9.86857
Venner,56.03802,8.32099
Vennemose,54.97906,8.90818
Vennebjerg,57.45135,9.8544
Veng,56.11006,9.88235
Venemose,55.47659,11.18332
Vemmingbund,54.9,9.68333
Vemmetofte Strand,55.2368,12.23975
Vemmenæs,54.97789,10.66307
Vemmeløse,55.29912,11.42172
Vemmelev,55.35525,11.24706
Vemmedrup,55.46339,12.06262
Vemb,56.3423,8.33749
Vellingshøj,57.48515,9.96166
Vellinge Huse,55.55382,10.3635
Vellinge,55.55737,10.37816
Velling,56.05195,8.31132
Velling,56.03102,9.51547
Vellev,56.36997,9.82088
Vellerup,55.74228,11.87689
Vellerup,55.10237,9.12147
Velhusted,56.05068,8.87115
Velgårde,55.97222,9.46454
Velds,56.47382,9.61564
Veldbæk,55.47022,8.51881
Veksø,55.75473,12.23837
Veksebo,55.9826,12.42741
Vejstruprød,55.39507,9.53445
Vejstrup,55.4,9.55
Vejstrup,55.10585,10.71242
Vejrup,55.80714,8.39484
Vejrup,55.4716,9.95366
Vejrup,55.38788,10.28041
Vejrumstad,56.43473,8.58397
Vejrum,56.44968,8.58632
Vejrum,56.43333,9.56667
Vejrø,55.03333,11.36667
Vejringe,54.86698,12.08323
Vejlø,55.17788,11.75416
Vejleby Holle,54.73213,11.33097
Vejleby,55.76483,11.89155
Vejleby,55.74782,11.45816
Vejleby,54.74706,11.32565
Vejle,55.70927,9.5357
Vejle,55.27157,10.31286
Vejlbyskov,55.52959,9.84554
Vejlby Fed,56.2,10.26667
Vejlby,56.57679,8.14035
Vejlby,56.46604,10.3431
Vejlby,56.38316,10.81514
Vejlby,56.19802,10.19961
Vejlby,55.60672,9.72284
Vejlby,55.50807,9.81721
Vejhuse,56.75299,10.26335
Vejgård,57.03935,9.95887
Vejers Strand,55.63333,8.13333
Vejerslev,56.74756,8.71994
Vejers,55.62038,8.17408
Vejenbrød,55.93039,12.46955
Vejen,55.48117,9.13795
Vejby Strand,56.07796,12.1182
Vejby,57.37969,9.87376
Vejby,56.60486,8.80988
Vejby,56.06388,12.14188
Vejbæk,54.87665,9.32316
Veggerslev,56.47472,10.83667
Veggerby,56.89743,9.63996
Vegger,56.88497,9.5711
Veflinge Stormark,55.4798,10.19401
Veflinge,55.47547,10.16019
Veerst,55.55924,9.24465
Vedtofte,55.30922,10.04958
Vedsted,57.16667,9.7
Vedsted,55.19673,9.36516
Vedslet,55.96606,10.00897
Vedskølle,55.40422,12.18102
Vedskølle,55.22641,11.36894
Vedersø Klit,56.25398,8.13657
Vedersø,56.2347,8.19806
Vedelshave,55.50945,9.94676
Veddum,56.77549,10.1734
Veddinge,55.93333,11.46667
Veddinge,55.81667,11.55
Veddelev,55.67852,12.07972
Vedde,55.53149,11.54541
Vedbysønder,55.4181,11.44175
Vedbynørre,55.43565,11.44289
Vedby,55.47389,10.24015
Vedbøl,55.18736,9.38603
Vedbæk,55.84729,12.56886
Vebbestrup,56.72562,9.82424
Væde,55.42808,10.15147
Vattrup,56.28909,9.36784
Vassingerød,55.83249,12.30932
Vasby,55.67661,12.20515
Vårst,56.9373,10.0539
Varpelev,55.35598,12.28015
Vårø,54.96044,10.58594
Varnæs,55.01355,9.56859
Varminglund,55.28642,8.89535
Varming,55.31599,8.85646
Varmark,55.44693,9.60783
Varhede,56.29451,8.8007
Vargårde,55.3818,9.60852
Varde,55.62112,8.48069
Vantore,54.66169,11.78494
Vantinge,55.234,10.39485
Vansted Mark,57.44907,9.95583
Vanløse,55.68361,12.48713
Vanløse,55.55327,11.67824
Vangså,57.00634,8.46074
Vangede,55.74101,12.52385
Vang,57.36445,10.31844
Vang,56.30941,8.17258
Vang,56.98632,8.51151
Vang,55.24732,14.73524
Vandsted,56.92318,9.23797
Vandling,55.22743,9.52312
Vandflod,55.56032,8.12143
Vandet,56.35058,9.44235
Vandel,55.70849,9.21334
Vandborg,56.5467,8.17742
Vammen,56.53062,9.573
Vamdrup,55.42764,9.28435
Valsted,56.97554,9.56381
Valsømagle,55.49144,11.82009
Valsølille,55.5223,11.83372
Valsgård,56.67285,9.84885
Vålse,54.93063,11.77833
Valore,55.50728,12.03396
Valløby,55.39821,12.23871
Vallestrup,55.67546,11.70965
Vallerød,55.89589,12.5165
Vallensved,55.26519,11.65302
Vallensbæk,55.63333,12.36667
Vallekilde,55.74338,11.42541
Vallebo,55.22457,12.12894
Valby,55.65813,12.52406
Valby,56.05683,12.20608
Vadum,57.1179,9.857
Vadum,56.63229,8.76235
Vadsted,56.25181,9.82741
Vådde,56.13333,9.18333
Våbensted,54.78928,11.58601
Uvelse,55.8674,12.23696
Uve,55.78873,9.1866
Utterslevmader,54.95276,11.17194
Utterslev,55.71267,12.51095
Utterslev,54.92386,11.19483
Uth,55.82039,9.87608
Ustrup,55.9791,9.94774
Ustrup,55.20424,9.38646
Usserød,55.89072,12.50135
Urup,55.521,11.98868
Urup,55.38855,10.60722
Urne,54.94658,11.2731
Urlev,55.76338,9.77953
Urehoved,54.91667,10.4
Ure,55.52956,9.32092
Unnerup,56.07144,12.17003
Unnerud,55.86064,11.68695
Ungstrup,56.29358,9.36109
Ungersbjerg,55.18594,10.02656
Undløse,55.60451,11.58826
Underup,55.94248,9.70095
Understed,57.38333,10.51667
Underbjerg,56.58667,8.27939
Ulstrup,56.45824,10.62972
Ulstrup,56.38994,9.79354
Ulstrup,55.73233,10.95981
Ulstrup,55.54008,11.25525
Ulstrup,55.43333,10.23333
Ulstrup,55.32753,11.67649
Ulstrup,55.08797,8.9426
Ulsted,57.07513,10.25958
Ulslev,54.74016,12.00964
Ulse,55.29246,12.0153
Ulriksdal,54.71667,11.58333
Ullits,56.72684,9.28689
Ullerup,57.084,9.14228
Ullerup,57.01309,9.24598
Ullerup,56.76808,8.4445
Ullerup,55.96167,11.8866
Ullerup,55.87666,9.19973
Ullerup,55.58247,12.59977
Ullerup,55.51208,10.25166
Ullerup,55.17339,8.79944
Ullerup,54.96632,9.65971
Ullerslev,55.36172,10.6519
Ullerslev,54.81833,11.21186
Ullemarke,55.00269,12.33137
Ulkær,55.7829,9.55782
Ulkind,55.82374,9.12708
Ulkestrup,55.6099,11.52368
Ulkendrup,55.4921,10.31656
Ulkebøl,54.92889,9.82093
Ulfborg Kirkeby,56.29877,8.34208
Ulfborg,56.26725,8.32167
Uldum,55.84714,9.58956
Uldal,55.24239,9.22971
Ulbølle,55.07416,10.4213
Ulbjerg,56.62798,9.34638
Uhre,55.93185,9.05076
Uhre,55.72395,9.50183
Uglev,56.61146,8.54428
Uglestrup,55.65807,11.90905
Uglerup,55.75979,11.6886
Uglerup,55.58645,11.36948
Ugledige,55.07344,12.0078
Uglebjerg,55.13774,10.94724
Ugilt,57.42445,10.13972
Uggerslev,55.53303,10.30819
Uggerhalne,57.1316,10.06686
Uggerby,57.56589,10.11096
Uggeløse,55.83333,12.35
Uggeløse,55.83879,12.26206
Uggelhuse,56.46884,10.21808
Ugerløse,55.63117,11.15963
Ugerløse,55.58706,11.65413
Ugelbølle,56.30541,10.41212
Uge,54.96667,9.33333
Udstrup,55.55,11.75
Udstolpe,54.76095,11.61219
Udsholt Strand,56.11244,12.20841
Udsholt,56.09491,12.20375
Udlejre,55.78758,12.13906
Udbyover,56.64878,10.21414
Udbyneder,56.66071,10.2374
Udbyhøj,56.59573,10.31358
Udby,56.57359,10.29613
Udby,55.75681,11.71035
Udby,55.43639,9.85646
Udby,55.07799,11.94882
Udby,55.00323,12.31432
Ubjerg,54.9135,8.85587
Ubby,55.61924,11.21262
Ubberup,55.93648,12.07692
Ubberup,55.68097,11.17013
Ubberup,55.58662,11.68459
Ubberud,55.4,10.26667
Tyvse,55.01201,8.88357
Tyvmose,56.09175,8.12128
Tyvelse,55.45711,11.42214
Tyvelse,55.38405,11.69609
Tystrup,55.56798,11.22367
Tystrup,55.36223,11.56483
Tystrup,55.23631,12.09866
Tystofte,55.25372,11.33464
Tyrstrup,55.35886,9.48105
Tyrsting,55.94049,9.54072
Tyrsted,55.82844,9.86038
Tylstrup,57.1947,9.95308
Tykskov,55.97333,9.22023
Tygstrup,56.77481,8.33515
Tygestrup,55.51488,11.62195
Tybjerglille,55.3267,11.81528
Tybjerg,55.34857,11.81047
Tværskov,55.45542,10.22734
Tværkær,57.49123,10.21055
Tværby,54.89188,10.30091
Tvolm,56.70929,8.41392
Tvismark,55.14299,8.54688
Tvis,56.32021,8.70706
Tvingstrup,55.91164,9.92987
Tvindelstrup,55.39393,11.85351
Tvinde,55.41575,10.62059
Tvilho,55.56367,8.88627
Tvile,55.53346,8.83442
Tveskel,56.33947,8.60513
Tversted Kirkeby,57.55,10.18333
Tversted,57.58088,10.18496
Tvenstrup,56.0003,10.15775
Tveje-Merløse,55.69333,11.69783
Tvedhuse,56.5144,10.68848
Tvede,56.54348,10.17518
Tved,57.05268,8.68617
Tved,56.25756,8.823
Tved,55.46981,8.86952
Tved,56.19541,10.44033
Tved,55.48133,9.50796
Tved,55.33408,8.80279
Tved,55.08358,10.62239
Tved,54.94766,8.85224
Tustrup,56.48912,10.53574
Tuse,55.7105,11.62486
Turup,55.30136,9.99597
Tureby,55.37299,12.07692
Tunø By,55.94883,10.44439
Tungelund,56.30485,9.7883
Tune,55.59528,12.18319
Tunderup,54.78594,12.03534
Tumbøl,54.96158,9.53075
Tulstrup Vestermose,56.16667,9.15
Tulstrup Østermose,56.1625,9.17694
Tulstrup,56.15717,9.14931
Tulstrup,56.10699,9.77833
Tulstrup,56.07261,12.25456
Tulstrup,56.02684,10.14479
Tulstrup,55.95675,12.2305
Tullebølle,54.95738,10.79616
Tuesbøl,55.49663,9.00605
Tuen,57.58795,10.28944
Tudved,55.62789,9.3943
Tryghuse,54.78828,11.13531
Tryggelev,54.80259,10.70172
Try,57.30969,10.28374
Try,57.14221,10.22696
Truust,56.2879,9.67763
Trustrup,56.62141,8.997
Trustrup,56.38341,10.10235
Trustrup,56.34929,10.77391
Trustrup,55.90253,10.03832
Trunderup,55.21837,10.1802
Trunderup,55.18878,10.54247
Truelstrup,55.53117,12.02564
Truelstrup,54.83951,12.0244
TRUE,56.71667,9.76667
TRUE,56.6,9.93333
TRUE,56.17571,10.09043
Trudsø,56.46792,8.58807
Trudslev,57.3222,9.71397
Trøstrup,55.436,10.25221
Trørød,55.83946,12.54432
Trønninge,55.71059,11.57517
Tronsmark,57.55168,10.16755
Trommerebakke,55.00296,14.99038
Trollerup,55.75312,9.3615
Troldhede,55.99154,8.74471
Troestrup,56.58435,9.57283
Troense,55.03324,10.64361
Troelstrup,56.84578,9.53459
Troelstrup,56.64391,9.48107
Troelstrup,56.49132,9.13368
Troelstrup,55.99233,9.62207
Troelstrup,55.31819,11.93768
Troelseby,54.81435,11.27918
Troelse,55.40193,10.23436
Trængstrup,56.84115,9.65655
Trænge,54.86798,9.94648
Trælund,56.19416,8.95133
Trælund,55.87388,9.01266
Trælløse,55.31796,11.70825
Trællerup,55.65484,11.96564
Trælborg,55.05094,8.85949
Trinderup,56.65801,10.05635
Trige,56.25291,10.1484
Trevad,56.46125,9.01183
Tressebølle,55.06462,10.89712
Trend,56.83559,9.21253
Trelde,55.62014,9.7775
Trebjerg,55.88885,9.68422
Træden,55.9704,9.66863
Travsted,54.98374,8.94377
Tråsbøl,54.97754,9.55158
Trappeskov,54.84455,10.48002
Trappendal,55.37813,9.60468
Trappen,54.9,9.6
Tranum Strand,57.16645,9.41228
Tranum Enge,57.1442,9.55988
Tranum,57.13224,9.46356
Trans,56.49988,8.12204
Tranholm,57.10159,10.11578
Tranholm,56.19144,8.78613
Tranget,57.35724,10.13738
Tranekær,57.17103,9.66611
Tranekær,54.9976,10.84381
Tranehuse,56.49271,10.64985
Tranegilde,55.62553,12.3484
Tranebjerg,55.8326,10.59723
Trandum,56.45369,8.97033
Tranderup,55.2731,11.27085
Tranderup,54.86749,10.36281
Tranbjerg,56.09011,10.11937
Tranbjerg,55.58928,8.69825
Tradsborg,55.4764,8.6103
Tradsbjerg,56.39855,8.61791
Trabjerg,56.4,8.71667
Tovstrup,56.144,8.43971
Tovstrup,56.17519,9.81602
Tovstrup,56.11751,8.89492
Tovsig,57.04609,8.92208
Tovrup,54.95437,9.95559
Tovbro,57.39991,9.79518
Toustrup,56.72828,8.94941
Tostrup,56.98756,9.77523
Tostrup,56.34265,9.79405
Tostenæs,54.9284,12.15683
Tostebjerg,55.09363,10.16568
Torup Strand,57.13254,9.13824
Torup Kohave,55.32864,10.48767
Torup Holme,57.08224,9.10871
Torup,56.971,8.49729
Torup,57.18545,10.22458
Torup,56.96667,8.48333
Torup,56.8485,8.65926
Torup,56.82062,9.97592
Torup,56.69737,9.60642
Torup,56.40662,9.82329
Torup,56.19586,10.4693
Torup,56.19829,9.03213
Torup,55.9831,11.942
Torup,55.91104,10.05401
Torup,55.84786,10.61696
Torup,55.76156,9.71299
Torup,55.51349,10.30054
Torup,55.33305,9.94105
Torup,55.02937,9.83866
Torup,54.85,10.43333
Torum,56.7446,9.05681
Torstrup,55.67744,8.56985
Torsthoved,54.88783,9.88885
Torsted,56.9721,8.61764
Torsted Mølleby,56.82799,9.70187
Torsted,56.2,8.41667
Torsted,55.83209,9.82265
Torsminde,56.37334,8.12727
Torslunde,55.62543,12.25397
Torslunde,55.71104,11.49118
Torslunde,54.92296,11.07214
Torslunde,54.69369,11.4903
Torslev,57.07428,9.48503
Torshøj,57.33732,10.308
Torsbjerg,55.18061,9.29058
Torrup,55.55788,8.43526
Torrild,55.98054,10.05199
Torrig,54.90808,11.31726
Torrendrup,55.81763,11.5426
Torpmagle,55.959,11.91453
Torpet,57.11345,9.88639
Torpet,55.44305,11.75935
Torpe,55.70007,11.29363
Torpe,55.5262,11.27928
Torpe,55.33457,11.7657
Torpe,55.00826,12.38243
Torpe,54.91351,10.75814
Torpe,54.80947,11.17823
Torp,56.95621,8.67028
Torp,56.76132,8.56916
Torp,55.94661,9.7231
Torp,55.56434,9.66547
Torp,55.03333,9.85
Torp,54.98208,9.37281
Torø Huse,55.24445,9.89494
Tornved,55.65182,11.43844
Tornum,55.38551,8.97987
Torning,55.3612,9.50784
Torning,56.28437,9.33039
Tornemark,55.23461,12.04914
Tornemark,55.24267,11.52621
Tornby Strand,57.55976,9.91383
Torkilstrup,55.65211,11.88079
Torkilstrup,54.87281,11.93385
Toreby,54.78075,11.29858
Toreby,54.75359,11.7866
Torderup,56.96003,10.04212
Tordensgårde,55.09216,10.55585
Torbøl,55.74049,8.3352
Topshøj,55.3995,11.55418
Tøving,56.85629,8.75832
Tøvelde,54.96587,12.29514
Tøttrup,56.83303,9.66084
Tøttrup,56.84097,8.54069
Tøstrup,55.84484,8.59713
Tøstrup,56.40877,10.64872
Tøsby,55.75538,9.31898
Tørslev,56.52972,10.34491
Tørslev,55.81113,12.02346
Tørsbøl,54.91329,9.49352
Tørring Kær,56.58648,10.24301
Tørring Huse,56.55403,8.24154
Tørringe,55.22075,10.25959
Tørring,56.58384,10.21795
Tørring,56.56775,8.2593
Tørring,56.11086,9.75727
Tørring,55.85393,9.48418
Tørring,55.85,9.48333
Tørresø,55.58499,10.38966
Tørkeriet,57.25401,10.96175
Tønning,55.98985,9.66261
Tøndering,56.74017,8.97961
Tønder,54.93306,8.86674
Tømmerup,55.9751,11.91516
Tømmerup,55.67926,11.15172
Tømmerup,55.60929,12.61488
Tømmerup,55.59998,11.50015
Tømmerby,57.31024,9.8738
Tømmerby,57.07051,8.99622
Tømmerby,56.06785,9.52068
Tømmerby,55.47213,8.64543
Tølløse,55.6125,11.77034
Tøjstrup,56.45922,10.37781
Tøjsmose,55.13208,10.69764
Tødsø,56.82747,8.80926
Tommestrup,55.29758,12.43724
Tommerup Stationsby,55.34535,10.17594
Tommerup,55.31952,10.20659
Tolsvad,55.55452,10.2044
Tolstrup,57.18096,10.18529
Tolstrup,57.57053,10.10298
Tolstrup,57.30352,9.90662
Tolstrup,56.98238,9.32276
Tolstrup,56.81539,9.50618
Tolstrup,56.37108,10.82485
Tolstrup,55.92938,9.86783
Tolstrup,55.58141,9.62968
Tolstrup,55.54026,11.9141
Tolstrup,55.42246,11.82006
Tolstrup,55.02797,12.03563
Tolsager,55.80552,11.52287
Tolne,57.48135,10.31169
Tollestrup,57.33799,10.04822
Tollerup,55.99245,11.95061
Tollerød,55.35191,12.04613
Tolbøl,56.8062,8.28477
Toksværd,55.25198,11.88063
Tokkerup,55.58333,11.95
Tokkerup,55.28847,12.14091
Tokkerup,54.70714,11.72632
Tokkendrup,55.49766,10.38137
Tohuse,56.3867,9.21424
Toghale,54.95535,8.80125
Toggerbo,56.21448,10.54401
Togeholt,55.1044,12.15289
Toftum,56.46937,9.1635
Toftum,55.89485,9.99002
Toftum,55.16479,8.54915
Toftnæs,55.59921,8.4345
Toftlund,55.18858,9.06925
Tofthøj,55.77967,9.33482
Tofterup,55.64963,8.82157
